day_number,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
42,10.057812499999999,9.785916666666667,9.667916666666667,8.894354166666666,0.8451875000000001,0.9110833333333334,0.8159166666666667,0.8820833333333334,12.211458333333333,12.016625,11.813145833333332,11.152375,221.91666666666666,4.261541666666667,222.61666666666667,4.589208333333334,242.62708333333333,5.847666666666666,8.083041666666666,10.505770833333333,12.943333333333333,13.823749999999999,86.570625,86.90541666666667,1003.375,1007.6875
43,9.702729166666666,9.711145833333333,9.424479166666666,9.2056875,1.1361666666666668,1.2167083333333333,1.1213125,1.1094166666666667,12.580854166666667,12.72275,12.230937500000001,12.085770833333333,249.4729166666667,7.0456875,249.3083333333333,7.103416666666667,264.74791666666664,9.161083333333332,7.258125,10.014791666666666,12.888979166666667,12.228333333333333,67.52291666666666,70.379375,1004.9791666666666,1009.2083333333334
44,7.462659574468085,7.484319148936169,6.956617021276596,6.2105319148936164,0.7594468085106384,0.727872340425532,0.726936170212766,0.8348723404255318,9.298659574468084,9.263957446808512,8.81036170212766,8.198212765957447,202.84468085106386,5.584872340425531,206.77659574468086,5.818106382978724,228.17659574468084,8.067148936170213,5.457574468085107,7.903765957446808,10.580191489361702,9.919170212765957,78.02404255319149,79.91191489361702,1009.4468085106383,1013.8936170212766
45,8.918270833333333,8.951875,8.438125,7.746979166666667,0.8667083333333333,0.8903333333333333,0.8528333333333333,0.8995833333333333,11.206874999999998,11.231250000000001,10.6625,10.143145833333334,224.39791666666667,4.868291666666667,224.11249999999998,5.057916666666666,239.63125,7.825645833333333,6.5638749999999995,9.399729166666667,12.291041666666667,10.165145833333334,79.66229166666666,80.84083333333334,1003.5833333333334,1008.2083333333334
46,7.434595744680851,7.403276595744681,6.901553191489361,6.264340425531914,0.722,0.7294255319148937,0.6817446808510639,0.712,9.186531914893617,9.14331914893617,8.649765957446808,8.088829787234042,205.31276595744683,5.132936170212766,205.57021276595742,5.524851063829788,224.24468085106383,7.0889999999999995,5.352106382978723,7.8142978723404255,10.366127659574467,8.378808510638299,81.04489361702127,81.65893617021275,1014.1702127659574,1018.7446808510638
47,6.8115,6.773770833333334,6.6083125,5.947520833333333,0.6965625000000001,0.6843750000000001,0.68525,0.7647916666666666,8.646729166666667,8.557208333333334,8.378187500000001,7.9320208333333335,148.03541666666666,6.361833333333333,148.28958333333333,6.179979166666667,161.10208333333333,7.736999999999999,5.155166666666667,7.198270833333333,9.362125,10.222791666666668,80.14791666666666,80.55166666666666,1008.2083333333334,1012.8541666666666
48,4.558595744680851,4.472957446808511,4.487829787234043,4.089872340425532,0.4158936170212766,0.4112553191489362,0.4051276595744681,0.40214893617021275,5.5836595744680855,5.492829787234043,5.497510638297872,5.098489361702128,113.28085106382979,6.9505319148936175,112.79,6.795255319148937,126.97127659574467,6.413489361702127,3.4965744680851065,4.771893617021276,6.140553191489362,12.034893617021277,94.63404255319149,94.37659574468084,1004.2765957446809,1008.8510638297872
49,5.42875,5.334583333333334,5.346395833333333,4.892270833333334,0.39891666666666664,0.3911458333333333,0.3963541666666666,0.44910416666666664,6.376604166666667,6.265833333333333,6.3172500000000005,5.959479166666667,124.74333333333334,4.382458333333333,126.51625,4.378791666666667,141.42291666666668,5.447791666666667,4.169041666666667,5.6663125,7.273291666666666,11.748958333333334,96.81666666666666,97.01666666666667,999.375,1003.9583333333334
50,6.235166666666667,6.2193958333333335,5.826708333333333,5.027395833333333,0.8007291666666667,0.7873333333333333,0.7717499999999999,0.8004375,8.255854166666667,8.231583333333333,7.8449375,7.205854166666668,170.20250000000001,7.583104166666666,163.32279166666666,8.0175625,171.6475,8.986145833333333,4.542666666666666,6.697125,9.03725,11.316875000000001,89.97541666666666,90.28958333333333,1001.9583333333334,1006.3541666666666
51,6.280170212765958,6.264617021276596,5.758914893617021,4.824106382978724,0.6962553191489361,0.6724042553191489,0.6702978723404256,0.6936808510638298,8.135659574468084,8.086042553191488,7.499893617021277,6.656574468085106,171.27872340425532,6.073765957446808,171.2340425531915,6.118638297872341,185.28297872340423,7.63172340425532,4.718765957446808,6.7871702127659574,8.955680851063828,13.529148936170213,90.89148936170211,90.81489361702128,1007.936170212766,1012.3829787234042
52,5.9864375,5.908270833333333,5.589583333333334,4.919833333333333,0.464375,0.5057291666666667,0.44483333333333336,0.467,7.169250000000001,7.176020833333333,6.7751875,6.110666666666667,212.18958333333333,5.259166666666666,215.16875000000002,5.5594375000000005,235.82708333333335,6.810333333333333,4.55575,6.356958333333334,8.19525,13.081458333333332,88.28833333333334,89.55416666666667,1014.1041666666666,1018.5625
